period,target_date,tikr_fx,fixture_status,provenance_status
2015-Q3,2015-09-30,,MISSING,NO_DETERMINABLE
2015-Q4,2015-12-31,,MISSING,NO_DETERMINABLE
2016-Q1,2016-03-31,,MISSING,NO_DETERMINABLE
2016-Q2,2016-06-30,,MISSING,NO_DETERMINABLE
2016-Q3,2016-09-30,,MISSING,NO_DETERMINABLE
2016-Q4,2016-12-31,,MISSING,NO_DETERMINABLE
2017-Q1,2017-03-31,,MISSING,NO_DETERMINABLE
2017-Q2,2017-06-30,,MISSING,NO_DETERMINABLE
2017-Q3,2017-09-30,,MISSING,NO_DETERMINABLE
2017-Q4,2017-12-31,,MISSING,NO_DETERMINABLE
2018-Q1,2018-03-31,,MISSING,NO_DETERMINABLE
2018-Q2,2018-06-30,,MISSING,NO_DETERMINABLE
2018-Q3,2018-09-30,,MISSING,NO_DETERMINABLE
2018-Q4,2018-12-31,,MISSING,NO_DETERMINABLE
2019-Q1,2019-03-31,,MISSING,NO_DETERMINABLE
2019-Q2,2019-06-30,,MISSING,NO_DETERMINABLE
2019-Q3,2019-09-30,,MISSING,NO_DETERMINABLE
2019-Q4,2019-12-31,,MISSING,NO_DETERMINABLE
2020-Q1,2020-03-31,,MISSING,NO_DETERMINABLE
2020-Q2,2020-06-30,,MISSING,NO_DETERMINABLE
2020-Q3,2020-09-30,,MISSING,NO_DETERMINABLE
2020-Q4,2020-12-31,,MISSING,NO_DETERMINABLE
2021-Q1,2021-03-31,,MISSING,NO_DETERMINABLE
2021-Q2,2021-06-30,,MISSING,NO_DETERMINABLE
2021-Q3,2021-09-30,,MISSING,NO_DETERMINABLE
2021-Q4,2021-12-31,,MISSING,NO_DETERMINABLE
2022-Q1,2022-03-31,,MISSING,NO_DETERMINABLE
2022-Q2,2022-06-30,,MISSING,NO_DETERMINABLE
2022-Q3,2022-09-30,,MISSING,NO_DETERMINABLE
2022-Q4,2022-12-31,,MISSING,NO_DETERMINABLE
2023-Q1,2023-03-31,,MISSING,NO_DETERMINABLE
2023-Q2,2023-06-30,,MISSING,NO_DETERMINABLE
2023-Q3,2023-09-30,349.97,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
2023-Q4,2023-12-31,808.46,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
2024-Q1,2024-03-31,857.22,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
2024-Q2,2024-06-30,911.50,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
2024-Q3,2024-09-30,968.50,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
2024-Q4,2024-12-31,1030.50,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
2025-Q1,2025-03-31,1073.10,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
2025-Q2,2025-06-30,1204.50,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
2025-Q3,2025-09-30,1379.70,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
2025-Q4,2025-12-31,1451.00,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
2026-Q1,2026-03-31,1382.00,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
2026-Q2,2026-06-30,1483.70,VERIFIED_SUBSET,CANDIDATE_EVIDENCE_FOUND
