,INVESTING (manual),,,,,,,EDGAR (nuevos calculos),,,,,,,,COMPARACION % (EDGAR-Investing),,,,,,,CALIDAD,,
Ticket,PER,EPS,Crec.EPS,Margen,ROE,Payout,,PER,EPS_anual,EPS_TTM,Crec.EPS,Margen,ROE,Payout,,PER,EPS(anual),Crec.EPS,Margen,ROE,Payout,,TTM_estrategia,stale,flags
GS,"20,09","51,32",,"29,36%","14,55%","31,82%",,"18,36","51,32","58,66","15,71%",,"14,63%","31,82%",,"-8,62%","+0,00%",,,"+0,52%","+0,01%",,B,,
IBN,"18,39","74,77","43,10%",,"16,00%","0,21%",,,,,,,,,,,,,,,,,,,
INFY,"14,01","0,80","7,63%","29,50%","31,00%","4,09%",,,,,,,,,,,,,,,,,C,,ni_es_fy_no_ttm
NOK,"89,09","0,14","5,39%","45,40%","3,70%","0,93%",,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,,,,,,,,,,,,,,,,,
VALE,"21,25","3,65","-9,14%","35,10%","7,90%","8,00%",,,,,,,,,,,,,,,,,C,SI,stale_2012-12-31
BRFS,,,,,,,,,,,,,,,,,,,,,,,,,
MUFG,"15,40","212,34","28,03%",,"12,00%","2,01%",,,,,,,,,,,,,,,,,,,
TSM,"34,10","73,61","18,55%","61,90%","36,50%","0,81%",,,,,,,,,,,,,,,,,C,,ni_es_fy_no_ttm
GRMN,"27,54","8,96","9,40%",,"19,90%","46,80%",,"26,76","8,59","8,97","10,69%","23,26%","19,90%","39,91%",,"-2,83%","-4,13%","+13,70%",,"-0,01%","-14,72%",,B,,ebitda_da_mas_intangibles
VIV,"7,01","1,97","-13,40%",,"9,20%","0,28%",,,,,,,,,,,,,,,,,,,
RIO,"15,41","6,08","-2,93%",,"17,00%",,,,,,,,,,,,,,,,,,C,,ni_es_fy_no_ttm
CHA,,"4,41",,,"14,70%",,,,,,,,,,,,,,,,,,,,
GOLD,"13,56","3,00",,,"10,80%",,,,,,,,,,,,,,,,,,,,
TRV,"9,60","34,00","5,29%",,"25,10%",,,"9,21","27,43","34,82","21,13%","15,54%","25,27%","12,84%",,"-4,04%","-19,32%","+299,38%",,"+0,69%",,,B,,
AUY,,,,,,,,,,,,,,,,,,,,,,,,,
CSCO,"40,03","3,00","2,62%",,"25,20%",,,"39,92","2,55","3,00","-0,69%","19,69%","25,23%","54,52%",,"-0,27%","-15,01%","-126,39%",,"+0,11%",,,B,,
SBS,"11,58","2,46","53,77%",,"21,30%",,,,,,,,,,,,,,,,,,,,
INTC,"-200,22","-0,67",,,"-3,00%",,,,"-0,06","-0,62",,"-5,90%","-3,01%",,,,"-91,09%",,,"+0,21%",,,B,,ebitda_da_mas_intangibles
MFG,"15,35","502,92","14,09%",,"11,50%",,,,,,,,,,,,,,,,,,,,
KGC,"9,99","2,35","3,86%",,"35,20%",,,,,,,,,,,,,,,,,,C,,ni_es_fy_no_ttm
LFC,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT,"54,66","10,63","16,76%",,"39,70%",,,"55,31","8,66","10,65","17,18%","29,31%","39,69%","17,20%",,"+1,19%","-18,55%","+2,49%",,"-0,02%",,,B,,
CEO,"44,78","337,20",,,"3,20%",,,,,,,,,,,,,,,,,,,,
JNJ,"27,81","8,64","5,18%",,"26,40%",,,"28,01","11,03","8,60","14,89%","21,83%","26,42%",,,"+0,71%","+27,73%","+187,46%",,"+0,06%",,,B,,
BIIB,"21,69","9,30",,,"7,70%",,,"21,59","8,79","9,24","-18,73%","13,81%","9,73%",,,"-0,46%","-5,44%",,,"+26,37%",,,B,,
LMT,"24,01","20,62","6,19%",,"67,60%",,,"23,70","21,49","20,74","-2,43%","6,38%","67,64%","65,74%",,"-1,27%","+4,22%","-139,22%",,"+0,06%",,,B,,
BHP,"19,87","2,01","3,14%",,"21,40%",,,,,,,,,,,,,,,,,,C,,ni_es_fy_no_ttm
EBAY,"25,45","4,33","12,32%",,"42,90%",,,"24,47","4,34","4,47","-11,27%","17,61%","44,24%","26,22%",,"-3,85%","+0,24%","-191,46%",,"+3,12%",,,B,,
