ticker,empresa,ratio,cedears_por_accion,isin_cedear,isin_subyacente,pais,source_url,fecha
AABA,ALTABA INC,3:1,3.0,ARDEUT111051,US0213461017,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AAL,AMERICAN AIRLINES GROUP INC,2:1,2.0,ARBCOM4603W8,US02376R1023,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AAP,ADVANCE AUTO PARTS INC,14:1,14.0,AR0402038027,US00751Y1064,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AAPL,APPLE INC.,20:1,20.0,ARDEUT116183,US0378331005,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ABBV,ABBVIE INC,10:1,10.0,ARBCOM4603M9,US00287Y1091,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ABEV,AMBEV S.A.,1:3,0.3333333333333333,ARBCOM4601V4,US02319V1035,Brasil,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ABT,ABBOTT LABORATORIES,4:1,4.0,ARDEUT110608,US0028241000,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ACN,ACCENTURE PLC,75:1,75.0,AR0334997050,IE00B4BNMY34,Irlanda,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ACWI,iShares MSCI ACWI ETF,26:1,26.0,AR0219286272,US4642882579,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ADBE,ADOBE INC,44:1,44.0,ARBCOM460192,US00724F1012,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ADI,ANALOG DEVICES INC.,15:1,15.0,ARDEUT110616,US0326541051,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ADP,AUTOMATIC DATA PROCESSING INC,6:1,6.0,ARDEUT110681,US0530151036,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ADS,ADIDAS AG,22:1,22.0,ARBCOM460424,DE000A1EWWW0,Alemania,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AEG,AEGON LTD NPV,1:1,1.0,ARDEUT112398,US0076CA1045,Paises Bajos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AEM,AGNICO EAGLE MINES LIMITED,6:1,6.0,ARDEUT115383,CA0084741085,Canadá,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AGRO,ADECOAGRO S.A.,1:1,1.0,ARBCOM460143,LU0584671464,Argentina,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AI,C3.AI INC,5:1,5.0,AR0979595433,US12468P1049,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AIG,AMERICAN INTERNATIONAL GROUP INC (AIG),5:1,5.0,ARDEUT110640,US0268747849,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AKO.B,EMBOTELLADORA ANDINA S.A.,1:1,1.0,ARBCOM4603Q0,US29081P3038,Chile,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ALAB,ASTERA LABS INC,44:1,44.0,AR0717084534,US04626A1034,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AMAT,APPLIED MATERIALS INC.,5:1,5.0,ARDEUT110657,US0382221051,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AMD,"ADVANCED MICRO DEVICES, INC.",10:1,10.0,ARBCOM4601M3,US0079031078,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AMGN,AMGEN INC.,30:1,30.0,ARDEUT110665,US0311621009,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AMX,AMERICA MOVIL-SPN ADR,1:1,1.0,ARDEUT112646,US02390A1016,Mexico,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AMZN,"AMAZON.COM, INC.",144:1,144.0,ARBCOM460176,US0231351067,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ANET,ARISTA NETWORKS INC.,29:1,29.0,AR0827075372,US0404132054,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ANF,ABERCROMBIE & FITCH CO.,1:1,1.0,ARBCOM4601P6,US0028962076,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ARCO,ARCOS DORADOS HOLDINGS INC.,1:2,0.5,ARBCOM460135,VGG0457F1071,Uruguay,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ARM,ARM HOLDINGS PLC,27:1,27.0,AR0489277225,US0420682058,Gran Bretana,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ASML,ASML HOLDING NV,146:1,146.0,AR0725224551,USN070592100,Paises Bajos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ASR,"GRUPO AEROPORTUARIO DEL SURESTE , S.A.B. de C.V.",20:1,20.0,ARDEUT115185,US40051E2028,Mexico,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
ATAD,TATNEFT PAO,4:1,4.0,ARDEUT114089,US8766292051,Rusia,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AVGO,BROADCOM INC,39:1,39.0,ARBCOM4603J5,US11135F1012,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AVY,AVERY DENNISON CORPORATION,18:1,18.0,ARDEUT110707,US0536111091,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AXIA,AXIA ENERGIA,1:4,0.25,ARBCOM4602G3,US15234Q2075,Brasil,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AXP,AMERICAN EXPRESS Co.,15:1,15.0,ARDEUT110046,US0258161092,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
AZN,ASTRAZENECA PLC,4:1,4.0,ARDEUT112489,GB0009895292,Reino Unido,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
B,BARRICK MINING CORPORATION,2:1,2.0,ARDEUT112562,CA06849F1080,Canadá,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BA,BOEING CO/THE,24:1,24.0,ARDEUT110061,US0970231058,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BABA,ALIBABA GROUP HOLDING LIMITED,9:1,9.0,ARBCOM4601T8,US01609W1027,China,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BAC,BANK OF AMERICA CORPORATION,4:1,4.0,ARDEUT112851,US0605051046,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BAK,BRASKEM SA,2:1,2.0,AR0261973801,US1055321053,Brasil,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BAS GR,BASF SE,2:1,2.0,ARDEUT112497,DE000BASF111,Alemania,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BAYN GR,BAYER AG,3:1,3.0,ARDEUT112414,DE000BAY0017,Alemania,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BB,BLACKBERRY LIMITED,3:1,3.0,ARDEUT116142,CA09228F1036,Canadá,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BBD,"BANCO BRADESCO, S.A.",1:1,1.0,ARDEUT116001,US0594603039,Brasil,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BBVA,BANCO BILBAO VIZCAYA-SP ADR,1:1,1.0,ARDEUT112232,US05946K1016,Espana,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BCS,BARCLAYS BANK plc ADR,1:1,1.0,ARDEUT111770,US06738E2046,Reino Unido,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BG,BUNGE LIMITED,5:1,5.0,ARDEUT115029,CH1300646267,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BHP,BHP GROUP LTD,2:1,2.0,ARDEUT112992,US0886061086,Australia,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BIDU,"BAIDU, INC.",11:1,11.0,ARBCOM4601U6,US0567521085,China,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BIIB,BIOGEN INC.,13:1,13.0,ARBCOM4601A8,US09062X1037,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BIOX,BIOCERES CROP SOLUTIONS CORP,1:1,1.0,ARBCOM4603K3,KYG1117K1141,Argentina,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BKNG,BOOKING HOLDINGS INC.,700:1,700.0,AR0171546572,US09857L1089,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BKR,BAKER HUGHES CO.,7:1,7.0,AR0302010498,US05722G1004,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BMNR,"BITMINE INMERSION TECHNOLOGIES, INC.",8:1,8.0,AR0701450691,US09175A2069,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BMY,BRISTOL MYERS SQUIBB COMPANY,3:1,3.0,ARDEUT112877,US1101221083,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BNY,BANK OF NEW YORK MELLON CORP,2:1,2.0,ARDEUT110756,US0640581007,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BP,BP PLC-SPONS ADR,5:1,5.0,ARDEUT110582,US0556221044,Reino Unido,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BRK/B,BERKSHIRE HATHAWAY INC,22:1,22.0,ARBCOM4603L1,US0846707026,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BSBR,BANCO SANTANDER (BRASIL) S.A.,1:1,1.0,ARDEUT115995,US05967A1079,Brasil,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BSN GR,DANONE,20:1,20.0,ARDEUT110491,FR0000120644,Francia,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
BX,BLACKSTONE INC.,30:1,30.0,AR0103922032,US09260D1072,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
C,CITIGROUP INC,3:1,3.0,ARDEUT110426,US1729674242,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
CAAP,CORP AMERICA AIRPORTS SA,1:4,0.25,ARBCOM4603I7,LU1756447840,Argentina,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
CAH,CARDINAL HEALTH INC,3:1,3.0,ARDEUT110798,US14149Y1082,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
CAR,AVIS BUDGET GROUP INC.,26:1,26.0,ARDEUT110822,US0537741052,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
CAT,CATERPILLAR Inc.,20:1,20.0,ARDEUT110079,US1491231015,Estados Unidos,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
CBDBY,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,1:1,1.0,ARBCOM460234,US20440T3005,Brasil,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
CCJ,Cameco Corporation,23:1,23.0,AR0270854455,CA13321L1085,Canadá,https://www.comafi.com.ar/custodiaglobal/json/apps/getproducts.aspx,2026-07-10
