bloque,ticker,period_end,concepto,investing,nuestro,ratio,desvio_rel
ratio,A3,,ROE,11.14,-1.2058073423973907,-0.10824123360838336,1.1082412336083833
ratio,AGRO,,PriceBook,1.12,1.29979646128533,1.1605325547190446,0.16053255471904462
ratio,AGRO,,ROE,8.77,-2.6513260647411894,-0.30231768127037506,1.3023176812703752
ratio,ALUA,,PER,29.61,18.150299850074962,0.6129787183409309,0.3870212816590692
ratio,ALUA,,PriceBook,1.34,1.3160139782087705,0.9820999837378884,0.017900016262111604
ratio,ALUA,,ROE,5.63,7.250645934663911,1.287858958199629,0.287858958199629
ratio,AUSO,,ROE,11.18,18.776080657189866,1.6794347636126892,0.6794347636126893
ratio,BHIP,,PER,17.91,20.840681951793062,1.1636338331542748,0.16363383315427482
ratio,BHIP,,PriceBook,0.95,0.8685002298026022,0.9142107682132655,0.08578923178673446
ratio,BHIP,,ROE,5.12,4.167331144976662,0.8139318642532543,0.18606813574674577
ratio,BOLT,,PER,121.05,4.1207816630443075,0.03404197986818924,0.9659580201318108
ratio,BOLT,,PriceBook,2.29,0.7007358154062135,0.3059981726664688,0.6940018273335312
ratio,BOLT,,ROE,2.71,17.004924616378037,6.274879932242818,5.274879932242818
ratio,BYMA,,PER,10.99,10.941363475803604,0.9955744745954144,0.004425525404585681
ratio,BYMA,,PriceBook,3.2,2.884631918158793,0.9014474744246228,0.09855252557537719
ratio,BYMA,,ROE,25.5,26.364464762897637,1.0339005789371623,0.03390057893716222
ratio,CAPX,,PriceBook,1.08,1.9811282327659336,1.8343779933017903,0.8343779933017903
ratio,CAPX,,ROE,7.43,-7.846194645370766,-1.0560154300633602,2.05601543006336
ratio,CECO2,,ROE,14.84,-12.539069776533415,-0.8449507935669417,1.8449507935669416
ratio,COME,,PriceBook,0.55,0.47091934523498574,0.8562169913363377,0.14378300866366236
ratio,COME,,ROE,-7.82,-10.33700145589819,1.3218671938488733,0.32186719384887325
