fecha,ipc_indice,coef_deflacion_a_ultimo
2016-12,100.0000,116.100313
2017-01,101.5859,114.287822
2017-02,103.6859,111.973096
2017-03,106.1476,109.376295
2017-04,108.9667,106.546599
2017-05,110.5301,105.039544
2017-06,111.8477,103.802146
2017-07,113.7852,102.034634
2017-08,115.3819,100.622639
2017-09,117.5719,98.748351
2017-10,119.3528,97.274896
2017-11,120.9940,95.955430
2017-12,124.7956,93.032377
2018-01,126.9887,91.425704
2018-02,130.0606,89.266321
2018-03,133.1054,87.224344
2018-04,136.7512,84.898935
2018-05,139.5893,83.172788
2018-06,144.8053,80.176839
2018-07,149.2966,77.764874
2018-08,155.1034,74.853493
2018-09,165.2383,70.262350
2018-10,174.1473,66.667880
2018-11,179.6388,64.629864
2018-12,184.2552,63.010603
2019-01,189.6101,61.231080
2019-02,196.7501,59.009023
2019-03,205.9571,56.371114
2019-04,213.0517,54.493962
2019-05,219.5691,52.876435
2019-06,225.5370,51.477280
2019-07,230.4940,50.370210
2019-08,239.6077,48.454333
2019-09,253.7102,45.760995
2019-10,262.0661,44.301919
2019-11,273.2158,42.493997
2019-12,283.4442,40.960553
2020-01,289.8299,40.058087
2020-02,295.6660,39.267387
2020-03,305.5515,37.996970
2020-04,310.1243,37.436703
2020-05,314.9087,36.867928
2020-06,321.9738,36.058932
2020-07,328.2014,35.374716
2020-08,337.0632,34.444672
2020-09,346.6207,33.494916
2020-10,359.6570,32.280843
2020-11,371.0211,31.292105
2020-12,385.8826,30.086952
2021-01,401.5071,28.916129
2021-02,415.8595,27.918158
2021-03,435.8657,26.636717
2021-04,453.6503,25.592469
2021-05,468.7250,24.769388
2021-06,483.6049,24.007266
2021-07,498.0987,23.308696
2021-08,510.3942,22.747185
2021-09,528.4968,21.968026
2021-10,547.0802,21.221809
2021-11,560.9184,20.698254
2021-12,582.4575,19.932838
2022-01,605.0317,19.189129
2022-02,633.4341,18.328712
2022-03,676.0566,17.173165
2022-04,716.9000,16.194771
2022-05,753.1470,15.415359
2022-06,793.0278,14.640131
2022-07,851.7610,13.630621
2022-08,911.1316,12.742431
2022-09,967.3076,12.002419
2022-10,1028.7060,11.286054
2022-11,1079.2787,10.757213
2022-12,1134.5875,10.232821
2023-01,1202.9790,9.651067
2023-02,1282.7091,9.051180
2023-03,1381.1601,8.406000
2023-04,1497.2147,7.754420
2023-05,1613.5895,7.195158
2023-06,1709.6115,6.791035
2023-07,1818.0838,6.385861
2023-08,2044.2832,5.679268
2023-09,2304.9242,5.037056
2023-10,2496.2730,4.650946
2023-11,2816.0628,4.122788
2023-12,3533.1922,3.285989
2024-01,4261.5324,2.724379
2024-02,4825.7881,2.405831
2024-03,5357.0929,2.167226
2024-04,5830.2271,1.991351
2024-05,6075.0966,1.911086
2024-06,6353.1578,1.827443
2024-07,6609.2494,1.756634
2024-08,6885.0053,1.686278
2024-09,7123.8605,1.629739
2024-10,7315.6162,1.587020
2024-11,7493.1337,1.549423
2024-12,7695.7558,1.508628
2025-01,7865.9127,1.475993
2025-02,8054.8226,1.441376
2025-03,8355.2139,1.389555
2025-04,8587.5587,1.351959
2025-05,8716.4673,1.331965
2025-06,8857.5804,1.310745
2025-07,9026.0235,1.286284
2025-08,9195.3331,1.262600
2025-09,9386.2246,1.236922
2025-10,9606.0446,1.208617
2025-11,9843.5944,1.179450
2025-12,10123.6714,1.146820
2026-01,10415.3971,1.114699
2026-02,10717.0602,1.083322
2026-03,11079.5779,1.047877
2026-04,11365.6724,1.021500
2026-05,11610.0313,1.000000
