Investing,P/E RatioTTM,Diluted EPSANN,5 Year EPS Growth5YA,Net Profit marginTTM,Return on EquityTTM,Payout RatioTTM,,EDGAR,,,,,,,,Comparacion,,,,,,
Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout,,Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout,,Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout
GS,"20,09","51,32",,"29,36%","14,55%","31,82%",,GS,"18,36","51,32","15,71%",,"14,63%","31,82%",,GS,"-8,62%","+0,00%",,,"+0,52%","+0,01%"
IBN,"18,39","74,77","43,10%",,16%,"0,21%",,,,,,,,,,IBN,,,,,,
INFY,"14,01","0,8","7,63%","29,50%",31%,"4,09%",,INFY,,,,,,,,INFY,,,,,,
NOK,"89,09","0,1384","5,39%","45,40%","3,70%","0,93%",,,,,,,,,,NOK,,,,,,
CHL,JAMAICA O SIDNY,,,,,,,,,,,,,,,CHL,,,,,,
VALE,"21,25","3,65","-9,14%","35,10%","7,90%",8%,,VALE,,,,,,,,VALE,,,,,,
BRFS,NO EXISTE EN INV,,,,,,,,,,,,,,,BRFS,,,,,,
MUFG,"15,4","212,3355","28,03%",,12%,"2,01%",,MUFG,,,,,,,,MUFG,,,,,,
TSM,"34,1","73,6055","18,55%","61,90%","36,50%","0,81%",,TSM,,,,,,,,TSM,,,,,,
GRMN,"27,54","8,96","9,40%",,"19,90%","46,80%","El texto reporta el pago anual absoluto, no el porcentaje del ratio. (Nota: si dividís ese pago de 4,20 por el BPA de 8,96, el payout ratio real de GRMN ronda el 46,8%).",GRMN,"26,76","8,59","10,69%","23,26%","19,90%","39,91%",,GRMN,"-2,83%","-4,13%","+13,70%",,"-0,01%","-14,72%"
VIV,"7,01","1,97","-13,40%",,"9,20%","0,28",,,,,,,,,,VIV,,,,,,
RIO,"15,41","6,084","-2,93%",,17%,,,RIO,,,,,,,,RIO,,,,,,
CHA,,"4,4139",,,"14,70%",,,,,,,,,,,CHA,,,,,,
GOLD,"13,56",3,,,"10,80%",,,,,,,,,,,GOLD,,,,,,
TRV,"9,6",34,"5,29%",,"25,10%",,,TRV,"9,21","27,43","21,13%","15,54%","25,27%","12,84%",,TRV,"-4,04%","-19,32%","+299,38%",,"+0,69%",
AUY,NO EXISTE EN INV,,,,,,,,,,,,,,,AUY,,,,,,
CSCO,"40,03","3,0002","2,62%",,"25,20%",,,CSCO,"39,92","2,55","-0,69%","19,69%","25,23%","54,52%",,CSCO,"-0,27%","-15,01%","-126,39%",,"+0,11%",
SBS,"11,58","2,4567","53,77%",,"21,30%",,,,,,,,,,,SBS,,,,,,
INTC,"-200,22","-0,6732",,,-3%,,,INTC,,"-0,06",,"-5,90%","-3,01%",,,INTC,,"-91,09%",,,"+0,21%",
MFG,"15,35","502,92","14,09%",,"11,50%",,,MFG,,,,,,,,MFG,,,,,,
KGC,"9,99","2,3504","3,86%",,"35,20%",,,KGC,,,,,,,,KGC,,,,,,
LFC,NO EXISTE EN INV,,,,,,,,,,,,,,,LFC,,,,,,
AMAT,"54,66","10,6325","16,76%",,"39,70%",,,AMAT,"55,31","8,66","17,18%","29,31%","39,69%","17,20%",,AMAT,"+1,19%","-18,55%","+2,49%",,"-0,02%",
CEO,"44,78","337,2007",,,"3,20%",,ACLARACION:EMPRESA CHINA,,,,,,,,,CEO,,,,,,
JNJ,"27,81","8,6354","5,18%",,"26,40%",,,JNJ,"28,01","11,03","14,89%","21,83%","26,42%",,,JNJ,"+0,71%","+27,73%","+187,46%",,"+0,06%",
BIIB,"21,69","9,2961",,,"7,70%",,,BIIB,"21,59","8,79","-18,73%","13,81%","9,73%",,,BIIB,"-0,46%","-5,44%",,,"+26,37%",
LMT,"24,01","20,6204","6,19%",,"67,60%",,,LMT,"23,70","21,49","-2,43%","6,38%","67,64%","65,74%",,LMT,"-1,27%","+4,22%","-139,22%",,"+0,06%",
BHP,"19,87","2,0131","3,14%",,"21,40%",,,BHP,,,,,,,,BHP,,,,,,
EBAY,"25,45","4,3296","12,32%",,"42,90%",,,EBAY,"24,47","4,34","-11,27%","17,61%","44,24%","26,22%",,EBAY,"-3,85%","+0,24%","-191,46%",,"+3,12%",
NEM,"12,18","7,6938","10,23%",,"25,60%",,,NEM,"12,09","6,39","12,73%","33,87%","25,56%","13,08%",,NEM,"-0,75%","-16,95%","+24,44%",,"-0,17%",
ERIC,"10,96","7,5391","8,45%",,"26,70%",,,,,,,,,,,ERIC,,,,,,
PG,"22,33","6,8376","5,97%",,31%,,,PG,"22,20","6,51","5,59%","19,16%",,"61,24%",,PG,"-0,60%","-4,79%","-6,38%",,,
