ticker,empresa,sector,tipo,revenue,net_income,operating_income,total_assets,total_liabilities,stockholders_equity,operating_cash_flow,capital_expenditure,depreciation,ebitda,fcf,shares_outstanding,diluted_shares
AAPL,Apple Inc.,Technology,CEDEAR,451442016256.0,,,,,,140222005248.0,,,,140222005248.0,14687356000.0,14687356000.0
MSFT,Microsoft Corp.,Technology,CEDEAR,318272995328.0,,,,,,170141007872.0,,,,170141007872.0,7428434704.0,7428434704.0
NVDA,NVIDIA Corp.,Technology,CEDEAR,253491003392.0,,,,,,125648003072.0,,,,125648003072.0,24221000000.0,24221000000.0
TSLA,Tesla Inc.,Automobiles,CEDEAR,97878999040.0,,,,,,16528000000.0,,,,16528000000.0,3755723871.0,3755723871.0
AMZN,Amazon.com Inc.,Consumer,CEDEAR,742775980032.0,,,,,,148531003392.0,,,,148531003392.0,10757109436.0,10757109436.0
AMZN,Amazon.com Inc.,Consumer,CEDEAR,742775980032.0,,,,,,148531003392.0,,,,148531003392.0,10757109436.0,10757109436.0
GOOGL,Alphabet Inc.,Technology,CEDEAR,422498009088.0,,,,,,174353006592.0,,,,174353006592.0,5867155790.0,5867155790.0
NFLX,Netflix Inc.,Media,CEDEAR,46889992192.0,,,,,,12650278912.0,,,,12650278912.0,4210798528.0,4210798528.0
META,Meta Platforms Inc.,Technology,CEDEAR,214962995200.0,,,,,,124000002048.0,,,,124000002048.0,2196045588.0,2196045588.0
BABA,Alibaba Group,Technology,CEDEAR,1023670026240.0,,,,,,76213002240.0,,,,76213002240.0,2399133995.0,2399133995.0
MELI,MercadoLibre Inc.,E-commerce,CEDEAR,31803000832.0,,,,,,13159999488.0,,,,13159999488.0,50697182.0,50697182.0
JPM,J.P. Morgan Chase,Financials,CEDEAR,173559005184.0,,,,,,-107704000512.0,,,,-107704000512.0,2679511418.0,2679511418.0
BAC,Bank of America,Financials,CEDEAR,109590003712.0,,,,,,56567001088.0,,,,56567001088.0,7096590651.0,7096590651.0
GS,Goldman Sachs,Financials,CEDEAR,61532999680.0,,,,,,-39792001024.0,,,,-39792001024.0,295007421.0,295007421.0
C,Citigroup Inc.,Financials,CEDEAR,78734000128.0,,,,,,-30797000704.0,,,,-30797000704.0,1705576955.0,1705576955.0
AXP,American Express,Financials,CEDEAR,68811997184.0,,,,,,17468000256.0,,,,17468000256.0,682326443.0,682326443.0
MA,Mastercard Inc.,Financials,CEDEAR,33938999296.0,,,,,,18267000832.0,,,,18267000832.0,877036230.0,877036230.0
V,Visa Inc.,Financials,CEDEAR,43027001344.0,,,,,,22755999744.0,,,,22755999744.0,1659709932.0,1659709932.0
JNJ,Johnson & Johnson,Healthcare,CEDEAR,96361996288.0,,,,,,22869999616.0,,,,22869999616.0,2407216971.0,2407216971.0
PFE,Pfizer Inc.,Healthcare,CEDEAR,63315001344.0,,,,,,11984000000.0,,,,11984000000.0,5699444169.0,5699444169.0
MRK,Merck & Co.,Healthcare,CEDEAR,65768001536.0,,,,,,17890000896.0,,,,17890000896.0,2469824415.0,2469824415.0
ABT,Abbott Labs,Healthcare,CEDEAR,45134000128.0,,,,,,9464000512.0,,,,9464000512.0,1741813154.0,1741813154.0
TMO,Thermo Fisher,Healthcare,CEDEAR,45197000704.0,,,,,,8287000064.0,,,,8287000064.0,371621465.0,371621465.0
CVS,CVS Health,Healthcare,CEDEAR,405617999872.0,,,,,,10332000256.0,,,,10332000256.0,1275927307.0,1275927307.0
ABBV,AbbVie Inc.,Healthcare,CEDEAR,62819000320.0,,,,,,21223999488.0,,,,21223999488.0,1766792821.0,1766792821.0
GILD,Gilead Sciences,Healthcare,CEDEAR,29735999488.0,,,,,,10805999616.0,,,,10805999616.0,1241569874.0,1241569874.0
XOM,ExxonMobil,Energy,CEDEAR,326008012800.0,,,,,,47722000384.0,,,,47722000384.0,4144947162.0,4144947162.0
