ticker,empresa,sector,tipo,precio,precio_52w_max,precio_52w_min,dif_max_52w,dif_min_52w,volumen,market_cap,dividend_yield
AAPL,Apple Inc.,Technology,CEDEAR,297.01,317.4,199.26,-6.4240705734089465,49.05650908360937,40149242.0,4362291642368.0,0.36
MSFT,Microsoft Corp.,Technology,CEDEAR,367.34,555.45,356.28,-33.866234584571075,3.104299988772885,44081827.0,2728761229312.0,0.99
NVDA,NVIDIA Corp.,Technology,CEDEAR,208.65,236.54,145.5,-11.790817620698402,43.402061855670105,115056391.0,5053711646720.0,0.48
TSLA,Tesla Inc.,Automobiles,CEDEAR,405.05,498.83,288.77,-18.799991981236087,40.26734079024832,47630296.0,1521255841792.0,
AMZN,Amazon.com Inc.,Consumer,CEDEAR,232.79,278.56,196.0,-16.430930499712815,18.770408163265294,61980874.0,2504147599360.0,
AMZN,Amazon.com Inc.,Consumer,CEDEAR,232.79,278.56,196.0,-16.430930499712815,18.770408163265294,61980874.0,2504147599360.0,
GOOGL,Alphabet Inc.,Technology,CEDEAR,349.68,408.61,166.13,-14.42206504980299,110.48576416059714,52036611.0,4266995482624.0,0.25
NFLX,Netflix Inc.,Media,CEDEAR,72.88,134.115,71.81,-45.658576594713495,1.490043169474986,77787058.0,306883002368.0,
META,Meta Platforms Inc.,Technology,CEDEAR,563.85,796.25,520.26,-29.186813186813186,8.378503056164233,15212440.0,1431289856000.0,0.37
BABA,Alibaba Group,Technology,CEDEAR,104.97,192.67,103.71,-45.51824362900295,1.214926236621361,11962663.0,251837087744.0,1.0
MELI,MercadoLibre Inc.,E-commerce,CEDEAR,1589.45,2645.22,1495.0,-39.91237023763618,6.317725752508374,397800.0,80580632576.0,
JPM,J.P. Morgan Chase,Financials,CEDEAR,331.48,338.09,279.1,-1.9551007128279285,18.767466857757075,10150827.0,888204427264.0,1.81
BAC,Bank of America,Financials,CEDEAR,57.37,57.98,44.75,-1.0520869265263855,28.201117318435752,38404072.0,407131422720.0,1.95
GS,Goldman Sachs,Financials,CEDEAR,1106.37,1125.0,653.24,-1.656000000000013,69.36654215908393,1857384.0,326387367936.0,1.63
C,Citigroup Inc.,Financials,CEDEAR,145.67,147.96,79.88,-1.5477155988105062,82.36104156234352,10263104.0,248451399680.0,1.65
AXP,American Express,Financials,CEDEAR,338.07,387.49,288.34,-12.753877519419865,17.24700006936257,2934881.0,230674120704.0,1.12
MA,Mastercard Inc.,Financials,CEDEAR,484.09,601.77,464.52,-19.555644182993504,4.212951003186083,2529457.0,427734106112.0,0.72
V,Visa Inc.,Financials,CEDEAR,326.6,359.66,293.89,-9.192014680531614,11.13001463132466,15017380.0,621109510144.0,0.82
JNJ,Johnson & Johnson,Healthcare,CEDEAR,231.29,251.71,150.73,-8.112510428667917,53.44656007430506,8393040.0,556765151232.0,2.32
PFE,Pfizer Inc.,Healthcare,CEDEAR,25.08,28.75,23.11,-12.76521739130435,8.524448290783205,39942242.0,142942060544.0,6.86
MRK,Merck & Co.,Healthcare,CEDEAR,115.48,125.14,76.66,-7.719354323158056,50.639186016175344,10492472.0,285215358976.0,2.94
ABT,Abbott Labs,Healthcare,CEDEAR,87.83,139.06,81.97,-36.84021285775925,7.148956935464201,8239037.0,152983453696.0,2.87
TMO,Thermo Fisher,Healthcare,CEDEAR,464.01,643.99,398.08,-27.947638938492837,16.561997588424447,1521773.0,172436078592.0,0.41
CVS,CVS Health,Healthcare,CEDEAR,101.3,103.12,58.5,-1.7649340574088512,73.16239316239314,7387834.0,129251442688.0,2.63
ABBV,AbbVie Inc.,Healthcare,CEDEAR,230.01,244.81,181.73,-6.045504677096525,26.5668849391955,7477389.0,406380019712.0,3.01
GILD,Gilead Sciences,Healthcare,CEDEAR,124.87,157.29,104.46,-20.61160912963316,19.538579360520792,7896115.0,155034845184.0,2.63
XOM,ExxonMobil,Energy,CEDEAR,138.47,176.41,105.53,-21.506717306275156,31.213872832369937,10958998.0,573950853120.0,2.98
CVX,Chevron Corp.,Energy,CEDEAR,175.06,214.71,142.4,-18.46676913045503,22.935393258426974,10493315.0,348649095168.0,4.07
COP,ConocoPhillips,Energy,CEDEAR,109.7,135.87,85.57,-19.261058364613238,28.19913521093842,5089273.0,133646852096.0,3.06
MPC,Marathon Petroleum,Energy,CEDEAR,247.29,272.46,158.0,-9.238053292226379,56.5126582278481,1326309.0,72193007616.0,1.58
PSX,Phillips 66,Energy,CEDEAR,168.41,190.61,118.0,-11.646818110277534,42.72033898305085,3769161.0,67521466368.0,3.02
PM,Philip Morris,Consumer,CEDEAR,173.17,193.05,142.11,-10.297850297850308,21.856308493420574,3152150.0,269895630848.0,3.4
MO,Altria Group,Consumer,CEDEAR,69.51,74.56,54.7,-6.773068669527893,27.07495429616089,8809197.0,116074143744.0,6.1
PG,Procter & Gamble,Consumer,CEDEAR,147.68,167.25,137.62,-11.701046337817633,7.309984013951465,7737266.0,343887478784.0,2.88
KO,Coca-Cola,Consumer,CEDEAR,79.53,84.04,65.35,-5.366492146596869,21.69854628921195,21187486.0,342176432128.0,2.67
PEP,PepsiCo,Consumer,CEDEAR,140.71,171.48,127.6,-17.94378353160717,10.274294670846395,10303985.0,192342261760.0,4.21
MCD,McDonald's,Consumer,CEDEAR,270.1,341.75,270.08,-20.965618141916597,0.007405213270161859,3724835.0,191907643392.0,2.75
SBUX,Starbucks,Consumer,CEDEAR,100.15,108.88,77.99,-8.018001469507707,28.41389921784845,5654957.0,114140954624.0,2.48
BA,Boeing,Industrials,CEDEAR,220.83,254.35,176.77,-13.178690780420677,24.925043842280935,4289474.0,174080802816.0,
CAT,Caterpillar,Industrials,CEDEAR,1022.28,1023.29,367.92,-0.09870124793558421,177.8538812785388,3922466.0,470853976064.0,0.64
DE,Deere & Co.,Industrials,CEDEAR,598.59,674.19,433.0,-11.213456147376855,38.24249422632795,600344.0,161581858816.0,1.08
GE,General Electric,Industrials,CEDEAR,355.12,364.7,243.34,-2.6268165615574435,45.93572778827977,3315419.0,371039895552.0,0.53
MMM,3M Company,Industrials,CEDEAR,163.22,177.41,139.34,-7.9984217349642,17.137935983924212,1767780.0,85130207232.0,1.91
HON,Honeywell,Industrials,CEDEAR,228.11,248.18,186.76,-8.086872431299863,22.140715356607423,3042792.0,144542613504.0,2.09
