ticker,empresa,sector,tipo,precio,market_cap,precio_52w_max,precio_52w_min,pe,p_book,deuda_equity,deuda_ebitda,margen_neto,roe,op_margin,ebitda_margin,fcf,fcf_yield,payout_ratio,current_ratio,eps_cagr_5y,revenue,net_income,ebitda,equity,liabilities
AAPL,Apple Inc.,Technology,CEDEAR,297.01,4362291642368.0,317.4,199.26,,,,,,,,,140222005248.0,0.03214411523661512,0.36,,,451442016256.0,,,,
MSFT,Microsoft Corp.,Technology,CEDEAR,367.34,2728761229312.0,555.45,356.28,,,,,,,,,170141007872.0,0.06235100603320192,0.99,,,318272995328.0,,,,
NVDA,NVIDIA Corp.,Technology,CEDEAR,208.65,5053711646720.0,236.54,145.5,,,,,,,,,125648003072.0,0.024862519244355594,0.48,,,253491003392.0,,,,
TSLA,Tesla Inc.,Automobiles,CEDEAR,405.05,1521255841792.0,498.83,288.77,,,,,,,,,16528000000.0,0.010864707661881808,,,,97878999040.0,,,,
AMZN,Amazon.com Inc.,Consumer,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon.com Inc.,Consumer,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon.com Inc.,Consumer,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon.com Inc.,Consumer,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon.com Inc.,Consumer,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon.com Inc.,Consumer,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon.com Inc.,Consumer,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon.com Inc.,Consumer,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
