cuit,ticker,empresa,nota
30546689979,YPFD,YPF S.A.,
30704962807,GGAL,Grupo Financiero Galicia,
30526552659,PAMP,Pampa Energia,
30657862068,TGSU2,Transportadora de Gas del Sur,
30500530851,LOMA,Loma Negra,
30509300700,CRES,Cresud,
30525322749,IRSA,IRSA,
30639453738,TECO2,Telecom Argentina,
30500003193,BBAR,BBVA Argentina,
33650305499,CEPU,Central Puerto,
33515950899,VIST,Vista Energy,
30617442937,SUPV,Grupo Supervielle,
30696170580,CAAP,Aeropuertos Argentina 2000,opera bajo CAAP
30500001735,GGALB,Banco de Galicia,subsidiaria de GGAL
33500005179,SUPVB,Banco Supervielle,subsidiaria de SUPV
30714128309,YPFLUZ,YPF Energia Electrica,no cotiza aparte
