formTypeId,formTypeName,cantidad,es_eeff,confianza,observaciones
1017.0,Caracter de Independencia - Migracion,93,,0,
361.0,Artículo 62 y 63 BCBA,81,,0,
1045.0,Art.63 Reglamento de Cotizacion BCBA - Migracion,58,,0,
1016.0,Nomina de los Organos Sociales y de Gerentes - Migracion,47,,0,
1019.0,DDJJ Auditores - Migracion,41,,0,
362.0,Nomina de Auditores Externos,37,,0,
1012.0,Informe Trimestral de Obligaciones Negociables - Migracion,31,,0,
5020.0,Nómina de Autoridades,23,,0,
1043.0,Informacion sobre remuneracion (Art.3 Cap.III Tit.II TO 2013 y mods.) - Migracion,21,,0,
,,19,,0,
1044.0,Art.62 Reglamento de Cotizacion BCBA - Migracion,18,,0,
498.0,Informe Trimestral de ON,17,,0,
1020.0,Estatuto Vigente Ordenado - Migracion,10,,0,
5022.0,Código de Gobierno Societario.,10,,0,
1021.0,Responsable de Relaciones con el Mercado - Migracion,7,,0,
339.0,Pago de Dividendos,7,,0,
1094.0,Código Gobierno Societario - Migracion,7,,0,
112.0,Estatutos Vigentes,7,,0,
5027.0,Sede Social Inscripta,4,,0,
19.0,Suplemento,4,,0,
1022.0,Sede Social Inscripta - Migracion,3,,0,
5117.0,Responsable de Relaciones con el Mercado,2,,0,
323.0,Código de Gobierno Societario,1,,0,
5002.0,Informe Volúmenes Mensuales,1,,0,
543.0,Art. 10 LON,1,,0,
1002.0,Balance Subsidiaria - Migracion,229,1,100,
1001.0,Balance Consolidado - Migracion,172,1,100,
349.0,Estados Contables - Controladas y Vinculadas,106,1,100,
147.0,Estados Contables - NIIF,86,1,100,
1106.0,Nómina de Organos Sociales de Controladas y Vinculadas - Migracion,10,0,100,
488.0,Estados contables - Otros Idiomas,5,1,100,
487.0,Estados Contables - NIIF para Bancos y Entidades Financieras,4,1,100,
548.0,"Nóminas de Órganos de Dirección de Controlantes, Controladas y Vinculadas",3,0,100,
142.0,Estados Contables - Comerciales,3,1,100,
1007.0,Hecho Relevante - Migracion,492,0,100,
244.0,Hecho Relevante,264,0,100,
198.0,Acta de Órgano de Administración (Directorio),207,0,100,
1023.0,Acta de Directorio - Migracion,199,0,100,
143.0,Acta Organo de Fiscalización,69,0,100,
1006.0,Acta de Asamblea - Migracion,64,0,100,
129.0,Actas del Comité de Auditoría,61,0,100,
1041.0,Actas o Informes del Comite de Auditoria - Migracion,58,0,100,
1046.0,Convocatoria a Asamblea (Orden del día) - Migracion,47,0,100,
383.0,Convocatoria a Asambleas 2,40,0,100,
334.0,Acta de Asamblea y/o Reunión de Socios03,34,0,100,
5019.0,Aviso de Pago Obligaciones Negociables,28,0,100,
111.0,Remuneraciones Globales del Directorio,26,0,100,
1005.0,Prospecto Emision Programas Obligaciones Negociables - Migracion,8,0,100,
1013.0,Suplemento de Prospecto - Migracion,6,0,100,
5104.0,Procedimiento de asambleas a distancia,4,0,100,
268.0,Prospectos de Programa Global o Series Individuales,4,0,100,
295.0,Aviso de Resultado de Colocación2,3,0,100,
484.0,Hecho Relevante OPA-OPV-DUVA,3,0,100,
1003.0,Prospecto Emision Acciones - Migracion,2,0,100,
179.0,Aviso de Resultado de Colocación de Acciones,2,0,100,
21.0,Aviso de Pago,2,0,100,
317.0,Adenda de Aviso de Suscripción,2,0,100,
267.0,Prospecto de Suscripción de Acciones,2,0,100,
1004.0,Prospecto Emision Obligaciones Negociables - Migracion,1,0,100,
260.0,Aviso Complementario de Suscripción,1,0,100,
281.0,Aviso de Suscripción de Acciones,1,0,100,
36.0,Aviso de Suscripción,1,0,100,
5159.0,Acta de Asamblea y/o Reunión de Socios03 - OP de VN con Autorización Automática - Bajo Impacto,1,0,100,
