ticker,empresa,id,cuit,url_empresa
,1 DE ABRIL S.A.,104412,33711316839,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33711316839
,360 ENERGY SOLAR S.A.,103936,30711204055,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30711204055
,3D LATINOAMERICA S. A.,105618,30713701803,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30713701803
,A3 Mercados S.A.,30460,30525698412,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30525698412
,AB ENERGIA S.A.,104539,33716030569,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33716030569
,ACA VALORES S.A,102576,30716908816,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30716908816
,ACINDAR PYMES SGR,31836,30709377295,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709377295
,Actual S.A.,30274,30641487267,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30641487267
,Aeropuertos Argentina 2000 S.A.,3730,30696170580,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30696170580
,AES ARGENTINA GENERACIÓN  S.A.,31585,30663461113,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30663461113
,AFFIDAVIT SGR,31839,30709399426,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30709399426
,AFIANZAR SGR,31837,30705458835,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30705458835
,AFS GROUP S.A.,106122,30716837994,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30716837994
,AGRICOLA NOROESTE S R L,102707,30665605775,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30665605775
,Agriseed S.A.,32206,30628910592,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30628910592
,AGRO ALLIANCE S.A.,104311,30715030213,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30715030213
,AGRO DE SOUZA S.A,104464,30707923446,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30707923446
,Agro Ganadera Vidoret S.A.,32162,30707825010,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30707825010
,AGRO SERVICIOS S R L,102769,30668239559,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30668239559
,AGROAVAL SGR,31840,30708255102,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30708255102
,AGRO-BICIUFFA S.R.L.,104236,30708142693,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30708142693
,AGROCOMERCIAL SUARDI SRL,103906,30708941766,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30708941766
,Agroempresa Colón S.A.,31937,30658531332,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30658531332
,AGROFIN AGROCOMMODITIES S.A.,102663,30708437103,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30708437103
,Agrofina S.A.,31230,30592724541,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30592724541
,AGROIDEAS S A,102604,30708658819,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30708658819
,Agroinversiones S.A.,32017,30711726906,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30711726906
,Agrometal Sociedad Anonima Industrial,3,30503087967,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30503087967
