cuit,empresa,n_eeff,n_dividendo,n_hecho_rel,n_acta,cotiza_probable
30502793175,ARCOR SAIC,2205,116,735,407,si
33516294189,IEB CONSTRUCCIONES S A,1847,0,318,323,si
30501466464,IMPSA S A,1539,6,496,307,si
30563598111,Petroquímica Comodoro Rivadavia S A,1004,184,260,521,si
30665234114,GENNEIA S A,827,209,418,338,si
30501250305,Ledesma S A,808,44,359,443,si
30500858628,MOLINOS RÍO DE LA PLATA S A,769,0,775,445,si
30547242331,Mastellone Hermanos S A,702,50,499,260,si
30692239292,CLISA,676,28,165,285,si
30500011072,Banco Hipotecario S A,528,193,1101,624,si
30500006613,Banco Patagonia SA,476,32,1509,772,si
30585581247,INVAP S A U,472,105,231,253,si
30500781293,Grimoldi S A,465,15,306,514,si
30527913493,S A Molinos Fenix,459,1,372,283,si
30525698412,A3 Mercados S A,453,5,482,230,si
30576614299,Banco CMF S A,448,23,407,396,si
30529177875,Mercado Argentino de Valores S A,406,1,122,151,si
30593174057,Rizobacter Argentina S A,401,100,101,238,si
30580189411,BANCO BMA S A U,393,65,1317,597,si
30511190238,S A San Miguel A G I C I y F,390,67,297,366,si
30629827060,Capex S A,387,33,273,350,si
30500008454,BANCO SANTANDER ARGENTINA S A,348,82,878,591,si
30571421352,BANCO CREDICOOP COOPERATIVO LIMITADO,330,0,551,151,si
30655116202,Empresa Distribuidora y Comercializadora Norte SA,311,40,602,455,si
30693160789,Inversora Electrica de Buenos Aires S A,300,0,382,392,si
30663148776,Cia de Transporte de Energia Electrica,298,8,273,339,si
30685376349,TARJETA NARANJA S A U,294,229,440,409,si
30604731018,Banco Comafi S A,289,51,4583,1422,si
30657863676,Metrogas S A,286,5,434,469,si
30628284357,REBA COMPAÑÍA FINANCIERA S A,277,4,281,274,si
30640285431,Inversora Juramento S A,270,50,137,302,si
30516420444,Banco Mariva S A,267,16,505,295,si
30604456475,LOS GROBO AGROPECUARIA S A,254,2,218,252,si
30525346389,Morixe Hnos S A,247,16,272,357,si
30709199966,Grupo Cohen S A,243,24,84,198,si
30642617555,NEWSAN S A,242,114,232,300,si
30704960995,Banco de Servicios y Transacciones S A U,240,41,489,462,si
30554475910,Caja de Valores S A,236,0,506,112,si
30506733932,Cia General de Combustibles S A,228,225,259,267,si
30536928703,Molinos Juan Semino S A,222,4,220,303,si
30500235566,Angel Estrada y Cia,211,81,451,353,si
30708633417,Grupo ST S A,201,98,127,200,si
30607597193,MSU S A,189,55,121,294,si
30682434720,Generacion Mediterranea S A,187,435,383,591,si
30690633635,Empresa Distribuidora de Electricidad de Salta S A,185,32,243,256,si
30622317784,Milicic S A,180,3,105,168,si
30715471953,Bolsas y Mercados Argentinos SA,180,6,269,221,si
30655116512,Empresa Distribuidora Sur S A,173,0,314,347,si
33500525709,ZONDA BITCOIN CAPITAL SOCIEDAD ANÓNIMA,171,0,109,195,si
30517637498,Banco Columbia S A,170,14,253,258,si
30657864281,Camuzzi Gas Pampeana S A,162,5,378,433,si
30500010602,BANCO DE CORRIENTES S A,157,0,238,147,si
33657865589,Distribuidora de Gas Cuyana,155,4,354,333,si
30500009442,BANCO DE SAN JUAN S A,149,0,163,173,si
30657864117,NATURGY BAN S A,145,4,438,275,si
30502640832,Patricios S A I C,142,0,76,185,si
30712506497,Edesa Holding S A,142,0,149,184,si
30526288412,Cia Argentina de Comodoro Rivadavia,141,0,184,263,si
30538006404,Compañía Financiera Argentina S A,135,55,522,330,si
30699542454,Emp Distribuidora de Electricidad de Mendoza S A,131,25,138,287,si
30712331239,BANCO BICA SA,130,0,151,222,si
30715118773,Molinos Agro S A,127,97,109,211,si
30708544082,HAVANNA HOLDING S A,126,9,43,200,si
30707227415,BACS Banco de Crédito y Securitización S A,125,85,346,323,si
30651129083,BANCO DE INVERSIÓN Y COMERCIO EXTERIOR S A,123,29,212,215,si
30525522381,Central Urbana SA,122,0,183,372,si
30670157799,NUEVO BANCO DEL CHACO S A,121,1,135,81,si
30703605105,FUTUROS Y OPCIONES COM S A,119,3,57,122,si
30712506594,Edesal Holding S A,119,1,174,159,si
30561852908,Electromac,115,0,156,265,si
30707101438,Nuevo Continente S A,113,6,217,248,si
30548274997,Papel Prensa S A,110,0,531,272,si
30695542476,Pan American Energy,109,612,103,193,si
30576124275,Banco de Valores S A,108,31,513,886,si
30678564822,GPAT COMPAÑÍA FINANCIERA S A U,107,48,443,256,si
30500005625,Sucursal de Citibank N A República Argentina,106,0,111,7,si
30554668115,Rogiro Aceros S A,105,24,177,252,si
30709418943,Edisur S A,104,9,97,128,si
30999228565,Banco de la Provincia de Córdoba S A,104,12,243,155,si
30652254248,CENTRAL COSTANERA S A,103,1,323,300,si
30522714417,BIBANK S A,102,0,197,174,si
30534672434,BANCO SAENZ S A,99,48,446,319,si
30525966859,Ribeiro S A C I F A e I,97,74,134,261,si
30708090286,Insumos Agroquímicos S A,94,6,152,180,si
30500012516,BANCO DE LA PAMPA S A,93,0,147,96,si
30692304884,FCA COMPAÑÍA FINANCIERA S A,93,63,220,228,si
30547596826,Dulcor S A,92,11,47,59,si
30707002294,Mercedes Benz Compañía Financiera Argentina S A,92,24,201,228,si
30690076043,SION S A,89,170,116,223,si
33999242109,Banco de la Provincia de Buenos Aires,89,0,103,20,si
30701810852,IUDU COMPAÑÍA FINANCIERA S A,86,14,215,174,si
33707124909,Rombo Compañía Financiera S A,86,155,245,362,si
30692432661,Nuevo Banco de Santa Fe S A,85,0,93,53,si
30701027074,PUENTE HNOS S A,84,24,514,311,si
30709447846,INDUSTRIAL AND COMMERCIAL BANK OF CHINA ARGENTINA,83,17,452,347,si
30534487491,Banco Meridian S A,82,0,262,162,si
30707024859,John Deere Credit Compañía Financiera S A,82,180,140,306,si
30681424721,Tarjetas del Mar S A,81,5,93,146,si
30707847367,PSA Finance Argentina Compañía Financiera S A,81,32,284,284,si
30546741636,BANCO VOII S A,74,33,107,227,si
30709000426,Toyota Compañía Financiera de Argentina S A,74,75,326,269,si
30709033553,Ebucar S A,74,13,106,109,si
30714378402,MSU ENERGY S A,74,68,81,177,si
30663461113,AES ARGENTINA GENERACIÓN S A,73,29,84,170,si
30685029959,Banco Industrial S A,72,2,234,234,si
30711204055,360 ENERGY SOLAR SA,72,50,65,160,si
30697265895,BANCO DE SERVICIOS FINANCIEROS CARREFOUR SAU,69,29,138,577,si
33572266449,Carsa S A,69,53,148,175,si
30500645772,Meranol S A C I,66,88,137,232,si
30542033637,BANCO DE COMERCIO S A,63,0,89,273,si
30621181838,DISAL S A,61,94,97,141,si
30657040807,Del Fabro Hnos y Cia S A,61,42,39,89,si
30711075875,SICOM S A,61,44,58,106,si
33707995519,NUEVO BANCO DE ENTRE RIOS S A,61,0,169,80,si
30500014047,BANCO PROVINCIA DEL NEUQUEN S A,60,0,57,64,si
30592665472,TECPETROL S A,56,49,159,151,si
30711566771,Lipsa SRL,56,64,20,104,si
30641056177,CFN S R L,54,40,91,169,si
33711944899,Central Termica Roca S A,53,279,251,393,si
30638375628,ROCH S A,52,28,206,170,si
