cuit,empresa,guid,formulario,clase,url
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A,cae45ee5-ada7-4162-b686-f5441d042037,Estados Contables,eeff,https://aif2.cnv.gov.ar/presentations/publicview/cae45ee5-ada7-4162-b686-f5441d042037
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A,f47368ab-fe1d-40ff-80ff-9e9225e0d083,Estados Contables,eeff,https://aif2.cnv.gov.ar/presentations/publicview/f47368ab-fe1d-40ff-80ff-9e9225e0d083
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A,ca5cd054-c22c-46cb-9d39-6668eb686a13,Estados Contables,eeff,https://aif2.cnv.gov.ar/presentations/publicview/ca5cd054-c22c-46cb-9d39-6668eb686a13
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A,a6e1ffeb-d7e7-4cf1-82fd-191d984abea1,Estados Contables,eeff,https://aif2.cnv.gov.ar/presentations/publicview/a6e1ffeb-d7e7-4cf1-82fd-191d984abea1
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A,f38fe7c3-4b8b-4530-998d-50982bbd5f46,Estados Contables,eeff,https://aif2.cnv.gov.ar/presentations/publicview/f38fe7c3-4b8b-4530-998d-50982bbd5f46
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A,1e74377f-26c1-482e-a28d-44b6f3831d5a,Estados Contables,eeff,https://aif2.cnv.gov.ar/presentations/publicview/1e74377f-26c1-482e-a28d-44b6f3831d5a
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A,b3910294-a4c7-4179-aec8-bc5afef189cb,Estados Contables,eeff,https://aif2.cnv.gov.ar/presentations/publicview/b3910294-a4c7-4179-aec8-bc5afef189cb
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A,5724c64d-7a6f-4614-a8bb-d59380cbac2c,Estados Contables,eeff,https://aif2.cnv.gov.ar/presentations/publicview/5724c64d-7a6f-4614-a8bb-d59380cbac2c
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A,0f651fca-5024-43a6-bd5e-48c4fded3fb2,Estados Contables,eeff,https://aif2.cnv.gov.ar/presentations/publicview/0f651fca-5024-43a6-bd5e-48c4fded3fb2
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A,9751fd47-1b2c-4aa6-8dea-d61770198574,Estados Contables,eeff,https://aif2.cnv.gov.ar/presentations/publicview/9751fd47-1b2c-4aa6-8dea-d61770198574
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A,005e4da3-5f22-4ea7-bdf9-55eab8c9c4e4,Estados Contables,eeff,https://aif2.cnv.gov.ar/presentations/publicview/005e4da3-5f22-4ea7-bdf9-55eab8c9c4e4
