ticker,empresa,id,cuit,url_empresa
LEDE,Ledesma S.A.,137,30501250305,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30501250305
SAMI,S.A. San Miguel A.G.I.C.I. y F.,3067,30511190238,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30511190238
MOLA,Molinos Agro S.A.,32039,30715118773,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30715118773
INVJ,Inversora Juramento S.A.,30224,30640285431,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30640285431
SEMI,Molinos Juan Semino S.A.,158,30536928703,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30536928703
BHIP,Banco Hipotecario S.A.,30421,30500011072,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500011072
BPAT,Banco Patagonia SA,30464,30500006613,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500006613
VALO,Banco de Valores S.A.,30471,30576124275,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30576124275
GRIM,Grimoldi S.A.,107,30500781293,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500781293
HAVA,HAVANNA HOLDING S.A.,30389,30708544082,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30708544082
MOLI,MOLINOS RÍO DE LA PLATA S.A.,30746,30500858628,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500858628
MORI,Morixe Hnos S.A.,160,30525346389,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30525346389
PATA,Banco Patagonia SA,30464,30500006613,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500006613
CAPX,Capex S.A.,331,30629827060,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30629827060
CECO2,CENTRAL COSTANERA S.A.,32100,30652254248,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30652254248
EDSH,Edesa Holding S.A.,30297,30712506497,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30712506497
TRAN,Cia. de Transporte de Energia Electrica,1018,30663148776,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30663148776
A3,A3 Mercados S.A.,30460,30525698412,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30525698412
BYMA,Bolsas y Mercados Argentinos SA,31697,30715471953,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30715471953
CGPA2,Camuzzi Gas del Sur S.A.,32151,30657864427,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30657864427
DGCE,Distribuidora de Gas del Centro S.A.,974,33657865279,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33657865279
DGCU2,Distribuidora de Gas Cuyana,975,33657865589,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/33657865589
ECOG,ECOGAS INVERSIONES S.A.,105391,30658275522,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30658275522
GBAN,NATURGY BAN S.A.,500,30657864117,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30657864117
METR,Metrogas S.A.,249,30657863676,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30657863676
TGNO4,Transportadora de Gas del Norte S.A.,292,30657863056,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30657863056
